sabores;proteínas;carboidratos;gorduras totais;calorias
Almondegas de carne ao molho sugo com espaguete integral;29;67;10.3;435
Almondegas de frango ao molho sugo com espaguete integral;24;58;9.3;415
Arroz colorido com frango ao molho barbecue;30,3;43,2;5,2;350
Arroz de lentilha com frango desfiado ao creme de leite light;47.3;30.2;12;322
Espaguete integral ao molho bolonhesa;29.4;46.3;8.5;417
Frango ao molho curry com cebolinha e arroz integral com brócolis;31;42,1;9,2;383
Frango ao molho de mostarda e espaguete integral;;;;
Frango desfiado ao curry cremoso com cenoura ralada e arroz integral;39.5;75.2;8.5;403
Frango desfiado ao molho fricassê e espaguete integral;35.1;55;18.3;528
Frango desfiado com salada de grão de bico e arroz integral;35.5;51.4;12.5;469
Macarrão parafuso com frango desfiado;;;;   
Macarrão penne ao molho bolonhesa;24.2;47.0;9.0;351
Macarrão penne ao molho parisiense light;34.5;59;11.2;463
Nhoque de batata doce ao molho bolonhesa;24,9;36,3;8,5;417
Patinho moído com espaguete integral e legumes cozidos;25.4;47;8;359
Risoto de frango ao molho curry com brócolis;31.4;54.4;11;457
Risoto de frango ao molho branco light;33;49.6;9;417
Risoto de frango com creme de Leite light;35.3;64.3;11.1;509
Risoto de palmito;10;68.1;12;422
Salpicão de frango com grão de bico;36.4;29.6;16.4;358
Strogonoff de frango com arroz branco com milho e brócolis;26;50.3;7.3;395
Strogonoff de frango com arroz integral e cenoura sauté;26;53.3;8;395
Strogonoff de grão de bico com champignon e arroz branco;13.7;66.2;11.4;338